pattern_transaction_occurrence_id,aml_pattern_id,transaction_id,pattern_transaction_sequence
PATTERN_TXN_0001,AML_PATTERN_0001,TXN_00137521,1
PATTERN_TXN_0002,AML_PATTERN_0001,TXN_00137523,2
PATTERN_TXN_0003,AML_PATTERN_0001,TXN_00137525,3
PATTERN_TXN_0004,AML_PATTERN_0001,TXN_00137526,4
PATTERN_TXN_0005,AML_PATTERN_0001,TXN_00137527,5
PATTERN_TXN_0006,AML_PATTERN_0001,TXN_00137528,6
PATTERN_TXN_0007,AML_PATTERN_0001,TXN_00137530,7
PATTERN_TXN_0008,AML_PATTERN_0001,TXN_00137532,8
PATTERN_TXN_0009,AML_PATTERN_0001,TXN_00137533,9
PATTERN_TXN_0010,AML_PATTERN_0001,TXN_00137534,10
PATTERN_TXN_0011,AML_PATTERN_0001,TXN_00137535,11
PATTERN_TXN_0012,AML_PATTERN_0001,TXN_00137536,12
PATTERN_TXN_0013,AML_PATTERN_0001,TXN_00137537,13
PATTERN_TXN_0014,AML_PATTERN_0001,TXN_00137539,14
PATTERN_TXN_0015,AML_PATTERN_0001,TXN_00137540,15
PATTERN_TXN_0016,AML_PATTERN_0001,TXN_00137542,16
PATTERN_TXN_0017,AML_PATTERN_0002,TXN_00317687,1
PATTERN_TXN_0018,AML_PATTERN_0002,TXN_00317689,2
PATTERN_TXN_0019,AML_PATTERN_0002,TXN_00317691,3
PATTERN_TXN_0020,AML_PATTERN_0002,TXN_00317693,4
PATTERN_TXN_0021,AML_PATTERN_0002,TXN_00317695,5
PATTERN_TXN_0022,AML_PATTERN_0002,TXN_00317696,6
PATTERN_TXN_0023,AML_PATTERN_0002,TXN_00317699,7
PATTERN_TXN_0024,AML_PATTERN_0002,TXN_00317702,8
PATTERN_TXN_0025,AML_PATTERN_0002,TXN_00317704,9
PATTERN_TXN_0026,AML_PATTERN_0002,TXN_00317706,10
PATTERN_TXN_0027,AML_PATTERN_0003,TXN_00318128,1
PATTERN_TXN_0028,AML_PATTERN_0003,TXN_00318129,2
PATTERN_TXN_0029,AML_PATTERN_0003,TXN_00318130,3
PATTERN_TXN_0030,AML_PATTERN_0003,TXN_00318131,4
PATTERN_TXN_0031,AML_PATTERN_0003,TXN_00318132,5
PATTERN_TXN_0032,AML_PATTERN_0004,TXN_00343695,1
PATTERN_TXN_0033,AML_PATTERN_0004,TXN_00343698,2
PATTERN_TXN_0034,AML_PATTERN_0004,TXN_00343700,3
PATTERN_TXN_0035,AML_PATTERN_0004,TXN_00343702,4
PATTERN_TXN_0036,AML_PATTERN_0004,TXN_00343704,5
PATTERN_TXN_0037,AML_PATTERN_0004,TXN_00343705,6
PATTERN_TXN_0038,AML_PATTERN_0004,TXN_00343707,7
PATTERN_TXN_0039,AML_PATTERN_0004,TXN_00343709,8
PATTERN_TXN_0040,AML_PATTERN_0004,TXN_00343710,9
PATTERN_TXN_0041,AML_PATTERN_0004,TXN_00343712,10
PATTERN_TXN_0042,AML_PATTERN_0004,TXN_00343713,11
PATTERN_TXN_0043,AML_PATTERN_0004,TXN_00343714,12
PATTERN_TXN_0044,AML_PATTERN_0004,TXN_00343715,13
PATTERN_TXN_0045,AML_PATTERN_0004,TXN_00343716,14
PATTERN_TXN_0046,AML_PATTERN_0004,TXN_00343717,15
PATTERN_TXN_0047,AML_PATTERN_0004,TXN_00343719,16
PATTERN_TXN_0048,AML_PATTERN_0004,TXN_00343721,17
PATTERN_TXN_0049,AML_PATTERN_0004,TXN_00343723,18
PATTERN_TXN_0050,AML_PATTERN_0004,TXN_00343725,19
PATTERN_TXN_0051,AML_PATTERN_0004,TXN_00343727,20
PATTERN_TXN_0052,AML_PATTERN_0004,TXN_00343728,21
PATTERN_TXN_0053,AML_PATTERN_0004,TXN_00343730,22
