aml_pattern_id,typology,pattern_description,transaction_count
AML_PATTERN_0001,FAN-OUT,Max 16-degree Fan-Out,16
AML_PATTERN_0002,CYCLE,Max 10 hops,10
AML_PATTERN_0003,GATHER-SCATTER,Max 3-degree Fan-In,5
AML_PATTERN_0004,STACK,Not Provided,22
AML_PATTERN_0005,GATHER-SCATTER,Max 13-degree Fan-In,17
AML_PATTERN_0006,RANDOM,Max 5 hops,5
AML_PATTERN_0007,CYCLE,Max 10 hops,10
AML_PATTERN_0008,FAN-OUT,Max 12-degree Fan-Out,12
AML_PATTERN_0009,FAN-OUT,Max 2-degree Fan-Out,2
AML_PATTERN_0010,BIPARTITE,Not Provided,13
AML_PATTERN_0011,RANDOM,Max 8 hops,8
AML_PATTERN_0012,GATHER-SCATTER,Max 2-degree Fan-In,4
AML_PATTERN_0013,FAN-IN,Max 2-degree Fan-In,2
AML_PATTERN_0014,BIPARTITE,Not Provided,12
AML_PATTERN_0015,FAN-IN,Max 16-degree Fan-In,16
AML_PATTERN_0016,GATHER-SCATTER,Max 2-degree Fan-In,8
AML_PATTERN_0017,RANDOM,Max 3 hops,3
AML_PATTERN_0018,SCATTER-GATHER,Not Provided,32
AML_PATTERN_0019,CYCLE,Max 10 hops,10
AML_PATTERN_0020,FAN-IN,Max 10-degree Fan-In,10
AML_PATTERN_0021,FAN-IN,Max 2-degree Fan-In,2
AML_PATTERN_0022,STACK,Not Provided,2
AML_PATTERN_0023,BIPARTITE,Not Provided,1
AML_PATTERN_0024,CYCLE,Max 2 hops,2
AML_PATTERN_0025,BIPARTITE,Not Provided,1
AML_PATTERN_0026,BIPARTITE,Not Provided,11
AML_PATTERN_0027,FAN-OUT,Max 13-degree Fan-Out,13
AML_PATTERN_0028,BIPARTITE,Not Provided,5
AML_PATTERN_0029,GATHER-SCATTER,Max 12-degree Fan-In,25
AML_PATTERN_0030,CYCLE,Max 3 hops,3
AML_PATTERN_0031,GATHER-SCATTER,Max 8-degree Fan-In,22
AML_PATTERN_0032,FAN-IN,Max 1-degree Fan-In,1
AML_PATTERN_0033,STACK,Not Provided,20
AML_PATTERN_0034,STACK,Not Provided,22
AML_PATTERN_0035,GATHER-SCATTER,Max 1-degree Fan-In,2
AML_PATTERN_0036,FAN-OUT,Max 10-degree Fan-Out,10
AML_PATTERN_0037,STACK,Not Provided,2
AML_PATTERN_0038,CYCLE,Max 7 hops,7
AML_PATTERN_0039,CYCLE,Max 2 hops,2
AML_PATTERN_0040,BIPARTITE,Not Provided,14
AML_PATTERN_0041,STACK,Not Provided,2
AML_PATTERN_0042,BIPARTITE,Not Provided,4
AML_PATTERN_0043,FAN-OUT,Max 12-degree Fan-Out,12
AML_PATTERN_0044,FAN-OUT,Max 8-degree Fan-Out,8
