bank_id,bank_name
1,Arbor Savings Bank
3,China Bank #14
4,China Bank #3
5,UK Bank #0
6,India Bank #0
7,India Bank #25
8,Canada Bank #12
9,Russia Bank #16
10,National Bank of Laramie
11,Finland Bank #0
12,National Bank of the East
14,China Bank #13
15,Japan Bank #0
16,India Bank #32
19,Australia Bank #3
20,China Bank #6
21,Japan Bank #18
22,Germany Bank #65
23,Germany Bank #18
24,Japan Bank #41
26,UK Bank #32
27,Mexico Bank #8
28,Australia Bank #0
29,Brazil Bank #10
70,Oasis Thrift
71,India Bank #2
110,Brazil Bank #7
112,Switzerland Bank #11
113,Israel Bank #1
115,Brazil Bank #6
116,Switzerland Bank #9
117,Switzerland Bank #10
118,Switzerland Bank #8
119,Israel Bank #6
121,Saudi Arabia Bank #6
124,Crytpo Bank #4
126,Crytpo Bank #5
210,Canada Bank #27
211,UK Bank #29
212,UK Bank #7
213,Mexico Bank #0
214,Canada Bank #26
217,Israel Bank #5
220,National Bank of Pittsburgh
222,Saudi Arabia Bank #5
223,Saudi Arabia Bank #4
225,Crytpo Bank #9
287,Russia Bank #63
410,Germany Bank #126
513,National Bank of New Orleans
701,First Bank of Springfield
795,First Bank of Montpelier
908,Plandor Savings Bank
1024,France Bank #51
1047,Flagstone Federal Bank
1068,National Bank of Detroit
1124,First Bank of Plattsburg
1132,Mexico Bank #16
1198,Israel Bank #7
1241,Flagstone Bancorp
1244,Bank of Arkadelphia
1267,China Bank #2
1292,Savings Bank of Seattle
1299,France Bank #40
1362,Golden Bancorp
1411,Bank of the South
1412,First Bank of Indianapolis
1420,Golden Bancorp
1457,National Bank of Helena
1467,Plandor Trust Bank
1490,Italy Bank #95
1501,Germany Bank #239
1502,Portugal Bank #43
1522,Spain Bank #23
1547,Italy Bank #49
1588,National Bank of Boston
1601,Acme Cooperative Bank
1655,Germany Bank #10
1665,Savings Bank of Los Angeles
1669,Germany Bank #38
1674,Savings Bank of Topeka
1686,Brownstone Credit Union
1688,Arbor Thrift
1729,Willows Bancorp
1853,Bank of New York
1916,Slovakia Bank #106
2053,First Bank of Tampa
2385,Hearthstone Savings Bank
2439,Savings Bank of Huron
2454,Spruce Community Bank
2467,Germany Bank #88
2591,France Bank #75
2627,Mountain Trust Bank
2824,Future Cooperative Bank
2843,Sappo Bancorp
2845,Sea Bank
2915,France Bank #85
2947,Savings Bank of Butte
2952,Sunrise Credit Union
2991,Savings Bank of Sacramento
3045,Austria Bank #20
3051,Acme Community Bank
3123,Spain Bank #64
3144,Savings Bank of Phoenix
3149,Acme Federal Bank
3198,National Bank of Madison
3199,Savings Bank of Houston
3204,Spain Bank #437
3206,Bank of Watertown
3208,Sappo Cooperative Bank
3209,National Bank of Fort Wayne
3210,Fieldstone Trust Bank
3211,Savings Bank of Houston
3212,Savings Bank of Arkadelphia
3214,Belgium Bank #3886
3216,Italy Bank #4211
3218,Latvia Bank #130
3219,Finland Bank #4339
3220,Italy Bank #4364
3221,Belgium Bank #142
3223,Greece Bank #136
3224,Germany Bank #156
3226,Cyprus Bank #4122
3227,Italy Bank #3889
3228,France Bank #129
3229,Arbor Savings Bank
3232,Savings Bank of Fairfield
3233,Bank of Springfield
3234,First Bank of the West
3236,Arbor Trust Bank
3237,National Bank of Tuscon
3238,Savings Bank of the South
3239,First Bank of Albany
3241,National Bank of Billings
3242,Plateau Community Bank
3243,Slovakia Bank #138
3244,Arbor Community Bank
3245,First Bank of Seattle
3246,First Bank of the South
3247,National Bank of Huron
3248,Savings Bank of the South
3250,Willows Community Bank
3254,Savings Bank of Huron
3258,Belgium Bank #3885
3260,Italy Bank #132
3261,Netherlands Bank #4805
3262,National Bank of Lincoln
3264,Bank of Detroit
3268,Germany Bank #141
3271,Spain Bank #158
3272,Bank of Helena
3274,National Bank of Los Angeles
3276,Regents Bancorp
3278,Baltech Community Bank
3279,Italy Bank #4508
3283,First Bank of Fairfield
3284,First Bank of Portsmouth
3286,Savings Bank of Indianapolis
3288,National Bank of Fairfield
3290,National Bank of Detroit
3291,Desert Credit Union
3292,Savings Bank of Springfield
3293,First Bank of Providence
3296,Bank of Miami
3298,Bank of Omaha
3301,Capital Bancorp
3303,First Bank of Albany
3305,First Bank of Dallas
3307,Slovenia Bank #3891
3308,Greece Bank #144
3309,Germany Bank #297
3311,Germany Bank #134
3314,Heath Federal Bank
3316,Germany Bank #3916
3318,Germany Bank #143
3322,France Bank #140
3323,Belgium Bank #135
3325,Greece Bank #11
3329,First Bank of Plattsburg
3331,National Bank of Newbury
3333,First Bank of Boston
3335,Spain Bank #450
3336,Sappo Bank
3337,Golden Credit Union
3341,Sappo Federal Bank
3343,Germany Bank #3893
3346,Ireland Bank #172
3347,Italy Bank #4115
3348,Italy Bank #197
3352,Belgium Bank #4154
3354,Belgium Bank #1114
3357,Italy Bank #3900
3358,Spain Bank #3909
3360,Italy Bank #438
3361,Germany Bank #165
3362,Germany Bank #149
3365,Savings Bank of Dallas
3369,Bank of Watertown
3370,Bank of Boston
3371,France Bank #148
3373,City National Federal Bank
3374,Golden Federal Bank
3376,Savings Bank of Tampa
3377,Golden Trust Bank
3378,Sea Thrift
3381,Austria Bank #3762
3382,Future Community Bank
3385,National Bank of Denver
3387,Bank of Hartford
3388,Savings Bank of Providence
3389,Regents Bank
3390,Hilltop Federal Bank
3391,Acme Federal Bank
3392,First Bank of Boston
3393,First Bank of Omaha
3396,National Bank of the East
3399,Bank of Los Angeles
3401,First Bank of Fort Wayne
3404,Capital Bank
3405,Bank of Omaha
3406,National Bank of Omaha
3408,Germany Bank #176
3409,Spain Bank #145
3410,Slovakia Bank #146
3411,Spain Bank #161
3412,Germany Bank #147
3414,Germany Bank #3677
3418,France Bank #150
3420,Savings Bank of Huron
3423,Oasis Thrift
3425,Savings Bank of Seattle
3426,Baltech Community Bank
3428,First Bank of Fairfield
3429,Savings Bank of Huron
3431,National Bank of the South
3432,Oasis Bancorp
3433,National Bank of Omaha
3435,Desert Bancorp
3437,Flagstone Bancorp
3438,Savings Bank of Detroit
3442,Savings Bank of Los Angeles
3443,Germany Bank #3694
3444,Spain Bank #4509
3445,France Bank #153
3449,Spain Bank #3887
3451,Germany Bank #4119
3452,Germany Bank #4116
3454,Italy Bank #155
3455,Netherlands Bank #4121
3457,France Bank #584
3459,Ireland Bank #3614
3460,Italy Bank #3162
3461,Belgium Bank #154
3462,First Bank of Newbury
3464,Germany Bank #187
3465,Germany Bank #3787
3466,Savings Bank of Denver
3469,National Bank of Albany
3470,Bank of Harrisburg
3472,Future Bancorp
3473,Austria Bank #217
3475,Sea Community Bank
3476,Italy Bank #289
3477,Savings Bank of New York
3480,Sea Thrift
3481,Acme Credit Union
3482,National Bank of Watertown
3484,Savings Bank of Albany
3485,First Bank of Portsmouth
3486,Heath Bank
3487,Arbor Federal Bank
3488,Savings Bank of Philadelphia
3489,Ireland Bank #71
3490,France Bank #4120
3494,Savings Bank of Dallas
3498,France Bank #157
3500,France Bank #487
3502,Netherlands Bank #3364
3506,France Bank #196
3508,Spain Bank #170
3512,Plateau Federal Bank
3514,France Bank #28
3515,Germany Bank #191
3516,Italy Bank #162
3517,Germany Bank #3901
3518,Germany Bank #163
3520,Croatia Bank #3888
3521,Spain Bank #4674
3522,Germany Bank #3920
3526,France Bank #3884
3527,Greece Bank #205
3528,Spain Bank #674
3529,Greece Bank #3898
3530,Germany Bank #166
3533,First Bank of Montpelier
3536,Savings Bank of Columbus
3537,Dawn Savings Bank
3539,City National Savings Bank
3540,First Bank of Watertown
3542,First Bank of Fort Wayne
3545,National Bank of Topeka
3546,First Bank of Newport
3548,First Bank of the South
3552,Plateau Federal Bank
3553,Dawn Bank
3554,The Pine Savings Bank
3555,Sunrise Cooperative Bank
3557,Arbor Thrift
3558,Savings Bank of Phoenix
3559,Hearthstone Federal Bank
3560,The Pine Cooperative Bank
3561,Bank of Arkadelphia
3562,France Bank #4368
3563,Spain Bank #181
3566,Spain Bank #3908
3567,Germany Bank #167
3568,Greece Bank #200
3570,Italy Bank #168
3571,France Bank #3892
3572,Croatia Bank #169
3573,Italy Bank #4683
3575,Spain Bank #242
3578,Germany Bank #4033
3579,France Bank #185
